ConceptID,ConceptLabel,Dependencies,TaxonomyID
1,MicroSim,,FOUND
2,Educational Simulation,1,FOUND
3,Interactivity,1,FOUND
4,User Engagement,3,FOUND
5,Simplicity,1,FOUND
6,AI Generation,1|88,FOUND
7,Web Embedding,1,FOUND
8,Iframe Element,7,FOUND
9,Search,,SRCH
10,Findability,9,SRCH
11,Reuse,1|10,FOUND
12,Component Reuse,11,FOUND
13,MicroSim Structure,1,FILE
14,File Organization,13,FILE
15,index.md File,14,FILE
16,main.html File,14,FILE
17,style.css File,14,FILE
18,data.json File,14|39,FILE
19,metadata.json File,14|20|39,FILE
20,Metadata,,META
21,Metadata Standards,20,META
22,Dublin Core,21,META
23,Dublin Core Elements,22,META
24,Title Element,23,META
25,Creator Element,23,META
26,Subject Element,23,META
27,Description Element,23,META
28,Publisher Element,23,META
29,Contributor Element,23,META
30,Date Element,23,META
31,Type Element,23,META
32,Format Element,23,META
33,Identifier Element,23,META
34,Source Element,23,META
35,Language Element,23,META
36,Relation Element,23,META
37,Coverage Element,23,META
38,Rights Element,23,META
39,JSON,,DATA
40,JSON Syntax,39,DATA
41,JSON Objects,40,DATA
42,JSON Arrays,40,DATA
43,JSON Schema,41|42,DATA
44,Schema Validation,43,DATA
45,Required Fields,43,DATA
46,Optional Fields,43,DATA
47,Data Quality,44|48|49,DATA
48,Completeness Score,19|44,DATA
49,Quality Score,48,DATA
50,Taxonomies,20,META
51,Classification Systems,50,META
52,Subject Normalization,51|26,META
53,Grade Levels,50,EDU
54,K-12 Education,53,EDU
55,Undergraduate Level,53,EDU
56,Graduate Level,53,EDU
57,Adult Learning,53,EDU
58,Learning Objectives,1,EDU
59,Bloom Taxonomy,58,EDU
60,Remember Level,59,EDU
61,Understand Level,59,EDU
62,Apply Level,59,EDU
63,Analyze Level,59,EDU
64,Evaluate Level,59,EDU
65,Create Level,59,EDU
66,Cognitive Levels,59,EDU
67,Search Fundamentals,9,SRCH
68,Information Retrieval,67,SRCH
69,Precision,68,SRCH
70,Recall,68,SRCH
71,Relevance,69|70,SRCH
72,Ranking,71,SRCH
73,Keyword Search,67,SRCH
74,Boolean Search,73,SRCH
75,Boolean Operators,74,SRCH
76,AND Operator,75,SRCH
77,OR Operator,75,SRCH
78,NOT Operator,75,SRCH
79,Faceted Search,67|80,SRCH
80,Facets,50,SRCH
81,Filter Controls,79|129,SRCH
82,Lightweight Search,67,SRCH
83,Client-Side Search,82,SRCH
84,ItemsJS Library,83,SRCH
85,Search Engines,67,SRCH
86,Indexing,85,SRCH
87,Inverted Index,86,SRCH
88,Semantic Search,67|89,EMBED
89,Embeddings,,EMBED
90,Vector Representations,89,EMBED
91,Cosine Similarity,90,EMBED
92,Similar MicroSims,91|1,EMBED
93,Similarity Score,91,EMBED
94,Nearest Neighbors,93,EMBED
95,Dimensionality Reduction,90,EMBED
96,PCA,95,EMBED
97,t-SNE,95,EMBED
98,Visualization Maps,96|97,EMBED
99,Data Gathering,,PIPE
100,Web Crawling,99,PIPE
101,GitHub API,100,PIPE
102,Repository Mining,101,PIPE
103,MicroSim Repositories,102|1,PIPE
104,Data Aggregation,99,PIPE
105,MicroSim Standards,21|1,STND
106,Schema Compliance,105|44,STND
107,Tags,20,PIPE
108,Folksonomies,107,PIPE
109,User-Generated Tags,108,PIPE
110,Keywords,107,PIPE
111,Controlled Vocabulary,110,PIPE
112,Visualization Type,,UI
113,Animation,112,UI
114,Chart,112,UI
115,Graph Visualization,112,UI
116,Diagram,112,UI
117,Simulation Display,112|1,UI
118,Interactive Demo,112|3,UI
119,Data Visualization,112,UI
120,3D Model,112,UI
121,Timeline,112,UI
122,Network Diagram,112,UI
123,Map Visualization,112,UI
124,Dashboard,112|119,UI
125,Interaction Level,3,UI
126,Passive Viewing,125,UI
127,Low Interaction,125,UI
128,High Interaction,125,UI
129,User Controls,3,UI
130,Slider Control,129,UI
131,Button Control,129,UI
132,Start-Pause Button,131,UI
133,Range Slider,130,UI
134,Dropdown Select,129,UI
135,Multi Select,134,UI
136,Checkbox Control,129,UI
137,Radio Button,129,UI
138,Text Input,129,UI
139,Color Picker,129,UI
140,Complexity,1,EDU
141,Difficulty Levels,140,EDU
142,Beginner Level,141,EDU
143,Intermediate Level,141,EDU
144,Advanced Level,141,EDU
145,Curriculum Standards,58,STND
146,CCSS Standards,145,STND
147,NGSS Standards,145,STND
